HRV__sum_values;HRV__median;HRV__mean;HRV__length;HRV__standard_deviation;HRV__variance;HRV__root_mean_square;HRV__maximum;HRV__absolute_maximum;HRV__minimum
76054282.86000001;701.17;707.6528542717309;107474.0;139.83014324994008;19552.468961298764;721.335588419306;2697.27;2697.27;323.24
76944241.23999998;804.69;832.5046387882064;92425.0;228.98382911570835;52433.59399649192;863.4220101435765;2687.5;2687.5;223.63
78244071.43;712.89;717.6577492731159;109027.0;192.33509404293915;36992.788400506244;742.9841408080395;3893.55;3893.55;231.45
79923703.24;679.69;722.3696752560081;110641.0;151.6237744155201;22989.768968008528;738.1109108375781;2528.32;2528.32;246.09
48462060.25000001;648.44;631.4521772838027;76747.0;120.88454772482164;14613.073878634681;642.9190665045559;5000.0;5000.0;192.38
86518361.5;769.53;781.6276221880929;110690.0;161.9912294383486;26241.1584149477;798.2373695727103;2673.83;2673.83;192.38
53644005.96;676.76;626.4993396788321;85625.0;241.98287752816094;58555.713016808935;671.6078734163423;2649.41;2649.41;107.42
75993471.75;673.83;698.0267270756598;108869.0;158.5579506358196;25140.623709831;715.8085885359219;2472.66;2472.66;217.77
93750841.33999999;811.52;841.5921554440424;111397.0;191.48830505737826;36667.77097374756;863.1020374664266;2432.62;2432.62;256.84
88668330.80999997;794.92;795.0534033624746;111525.0;126.31946992797205;15956.608482883836;805.025790072056;2124.02;2124.02;187.5
133227505.74;2000.0;1431.5994255442608;93062.0;608.1159911939591;369805.05874581134;1555.4041191807578;2614.26;2614.26;164.06
83928965.05;723.63;748.7573939923811;112091.0;151.55274691224506;22968.235096647;763.9410122220884;5000.0;5000.0;193.36
88723276.5;916.99;1112.9083126364114;79722.0;503.3787136327944;253390.12933860684;1221.4561153286809;3086.91;3086.91;187.5
95046878.9;871.09;919.9004955334244;103323.0;269.3108196854554;72528.31759965185;958.5119922475105;2943.36;2943.36;184.57
86083109.54;765.63;899.8485275547752;95664.0;312.85928019053887;97880.92920134209;952.684786140641;2541.99;2541.99;172.85
10341349.56;850.59;878.9927377815555;11765.0;290.29907301592783;84273.55179390698;925.6898967076509;3444.34;3444.34;5.86
87321897.59;852.54;892.3965783691532;97851.0;234.77797900932788;55120.69942770441;922.763432583171;2496.09;2496.09;323.24
65223118.599999994;576.17;573.5463607664506;113719.0;90.2050903392598;8136.9583231140205;580.5965779020348;2922.85;2922.85;197.27
85089512.21;769.53;789.0347942321957;107840.0;198.7159112918845;39488.013400564116;813.6731038381494;2941.41;2941.41;198.24
75202557.64;740.23;759.5297301337212;99012.0;158.31557505716236;25063.82130568001;775.8538730087538;2469.73;2469.73;191.41
88381071.95000002;804.69;853.206212652167;103587.0;332.36747934919345;110468.14132893654;915.6576776487985;3039.06;3039.06;34.18
89309638.98;841.8;838.7850573374031;106475.0;201.73244198992828;40695.97815121978;862.7029329750367;3554.69;3554.69;116.21
99515778.86000001;934.57;934.3853644933525;106504.0;211.50975705166388;44736.37732805387;958.0252536898121;3406.25;3406.25;375.98
84291156.42;790.04;798.5520005684241;105555.0;160.79266040332732;25854.27963957974;814.5793867091238;2867.19;2867.19;205.08
88600173.47;875.98;941.1733143895133;94138.0;341.04054461066943;116308.653068342;1001.0573713765281;3368.16;3368.16;128.91
66652129.44999998;687.5;700.399624328783;95163.0;175.3602166400087;30751.205580030786;722.0185865612681;2646.48;2646.48;183.59
88475769.84;799.8;860.0819473310715;102869.0;205.13205618481604;42079.16047461052;884.2059243182092;2816.41;2816.41;189.45
83262756.48;802.73;894.0295116608685;93132.0;379.1381700934245;143745.75202179048;971.0996446000593;3008.79;3008.79;201.17
78466434.17999999;839.84;768.3522240827238;102123.0;302.0632693688821;91242.21870181785;825.5951543914766;2892.58;2892.58;108.4
79095564.81;701.17;705.6811392348596;112084.0;133.14867798653918;17728.570449563103;718.1326066412612;2300.78;2300.78;158.2
72604173.05;641.6;650.4409758741477;111623.0;126.41224476262079;15980.055625924746;662.6111368834955;2676.76;2676.76;223.63
38395837.77;317.38;496.140766387988;77389.0;375.13624194409533;140727.20001993884;621.9990836745652;3667.97;3667.97;3.91
80572386.74000001;866.21;871.5899174626528;92443.0;158.53863919756088;25134.500118614385;885.8913501898345;3210.94;3210.94;266.6
87139364.8;850.59;857.316510891167;101642.0;166.71843805764559;27795.03758838101;873.376572524696;3017.58;3017.58;218.75
78636187.23;673.83;748.7164111475035;105028.0;252.49617202609124;63754.31688782947;790.1459239972243;2962.89;2962.89;226.56
66189018.75000001;750.98;802.1939007393045;82510.0;281.5200103913588;79253.51625075078;850.1579680471693;2961.91;2961.91;177.73
73360400.5;781.25;841.2793488606782;87201.0;276.9353252401335;76693.17436585853;885.6884989573396;3051.76;3051.76;193.36
70989691.0;755.86;796.2145268565148;89159.0;266.6066975395501;71079.13117294514;839.6646377871875;3085.94;3085.94;187.5
82054184.11;726.56;741.1900358607483;110706.0;116.53630503130272;13580.71039034883;750.2955282084562;4896.48;4896.48;186.52
77265319.09;825.2;1003.2111855670104;77018.0;486.8496148952356;237022.54752363925;1115.1032375392;3062.5;3062.5;188.48
90724570.05;829.1;837.4524161389776;108334.0;246.82965637568253;60924.879266537515;873.0701166364297;2536.13;2536.13;204.1
77137147.02999999;669.92;795.6302362017925;96951.0;408.73589190252153;167065.02932934975;894.4788997443541;3011.72;3011.72;92.77
67166533.54;774.41;829.4519868604666;80977.0;357.3415311072899;127692.96985410222;903.1520184115615;3061.52;3061.52;186.52
61016610.28;716.8;795.3363002163769;76718.0;343.133616869375;117740.67902585903;866.1988856306233;3007.81;3007.81;173.83
91741915.26;888.67;890.2919566799616;103047.0;185.70511732497556;34486.39060068294;909.4537694296054;2781.25;2781.25;138.67
101187179.49;887.7;948.8848205142632;106638.0;380.2307312050132;144575.408952699;1022.2317797618525;3106.45;3106.45;205.08
55314861.71000001;664.06;631.4121535300497;87605.0;386.1261006922399;149093.3656357938;740.1180130636254;2977.54;2977.54;40.04
90858734.1;830.08;828.9122915374229;109612.0;191.32486178372585;36605.2027365618;850.7060536979759;5000.0;5000.0;197.27
63369817.91;667.97;685.6721262713698;92420.0;223.07261108265962;49761.38981523551;721.0462222082139;2860.35;2860.35;100.59
87085023.80999999;982.42;1023.3618554120591;85097.0;312.5413063982847;97682.06820514647;1070.0240909986833;5000.0;5000.0;177.73
79175313.39;716.8;765.9261056185427;103372.0;203.1845275657409;41283.95224211332;792.4182932707324;2929.69;2929.69;204.1
41720326.480000004;572.27;531.9773857825949;78425.0;286.48199590470483;82071.9339775433;604.2117782380835;2977.54;2977.54;92.77
84752718.23000002;767.58;767.1456600409133;110478.0;137.98823441074802;19040.75283579554;779.4570010946106;2933.59;2933.59;179.69
93035494.89;1163.09;1331.3227281703444;69882.0;633.250116944545;401005.7106102799;1474.2543597199258;3023.44;3023.44;160.16
81423024.02000001;692.38;713.3797455689216;114137.0;90.13870805051474;8124.986689015931;719.0519091671999;3458.01;3458.01;214.84
120909184.66;2000.0;1437.136697808206;84132.0;658.8674291894406;434106.28924670257;1580.9706440771688;2948.24;2948.24;186.52
76822253.58999999;833.98;828.531331521446;92721.0;188.03255108270773;35356.24026667109;849.6001457034782;3033.2;3033.2;192.38
81723488.67999999;707.03;728.5811343698737;112168.0;207.49096260878918;43052.499564321944;757.550637861268;2727.54;2727.54;187.5
83703511.08;734.38;750.0919525768207;111591.0;139.68233678113768;19511.155208639168;762.9869543636684;2829.1;2829.1;321.29
85212525.34;870.12;966.139359176408;88199.0;382.5089724946159;146313.11403888682;1039.1046027174968;3153.32;3153.32;193.36
83420445.35;701.17;774.3689636767012;107727.0;315.11072685982913;99294.77018212984;836.0275486417049;2483.4;2483.4;200.2
77334708.19;730.47;790.3070716577759;97854.0;303.941885864368;92380.66998278847;846.7384114914578;5000.0;5000.0;180.66
89193972.61;813.48;802.4360131889091;111154.0;120.91621713118587;14620.731565316088;811.495093532812;2828.13;2828.13;270.51
81410366.52;744.14;748.7525432271356;108728.0;138.85228135124905;19279.956036446427;761.518435118645;5000.0;5000.0;186.52
61885307.70999999;791.99;772.9383339786423;80065.0;100.19922183290862;10039.884055920433;779.4058969430497;2521.48;2521.48;191.41
69070892.48;517.58;726.6184064465906;95058.0;512.1183554106691;262265.2099485284;888.9541712234163;3040.04;3040.04;188.48
97971282.27;850.59;900.5706720410338;108788.0;309.5805295609536;95840.10428324048;952.2959832025334;2291.99;2291.99;213.87
87729251.86;705.08;944.9102996424109;92844.0;542.884394211217;294723.4654780801;1089.7609553697503;3053.71;3053.71;184.57
66775511.17999999;709.96;754.3721184391874;88518.0;204.01187358988724;41620.84456565613;781.471776613899;5000.0;5000.0;176.76
80293393.66999999;752.93;927.9576741363966;86527.0;475.6951344998785;226285.86098685753;1042.7805646326021;5000.0;5000.0;198.24
69098262.04;727.54;729.7698900565032;94685.0;192.07002953032097;36890.89624377837;754.6224146398376;5000.0;5000.0;194.34
75417657.61999999;645.51;835.1067736327497;90309.0;499.2414224171973;249241.99785714643;972.9569986512493;5000.0;5000.0;187.5
62251842.6;813.48;1002.2837320882306;62110.0;584.0638718048359;341130.6063476558;1160.044518954496;3078.13;3078.13;166.02
77740539.46;787.11;879.6069229811836;88381.0;397.65299786336806;158127.90670972381;965.3166556452603;2984.38;2984.38;188.48
77255183.80999999;716.8;712.2000093109868;108474.0;157.24467004036927;24725.886256104604;729.3522739518089;3028.32;3028.32;196.29
79307863.02000001;690.43;703.4518322526854;112741.0;149.64056162650235;22392.297683895045;719.1917532783278;2536.13;2536.13;259.77
83736406.89999999;701.17;819.6915198324131;102156.0;300.0266286731015;90015.97791294716;872.8746562927112;3856.45;3856.45;208.01
85729833.38000001;737.3;790.6030596849756;108436.0;214.45911650525332;45992.71265221382;819.1739196504358;2762.7;2762.7;277.34
90925624.97;933.59;976.8231037890914;93083.0;269.87440809943274;72832.19614701917;1013.4177678742234;3115.23;3115.23;197.27
65842439.220000006;656.25;673.3319618350275;97786.0;193.6491317360348;37499.98622212016;700.6253756828446;5000.0;5000.0;177.73
